energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.179,0.0886,96.529,0.0326,0.879,0.0,4,0.332,5,125667,-11.83,0.315,1,audio_features,spotify:track:1e0hllQ23AG0QGFgezgLOq
0.54,0.179,129.171,0.0347,0.0339,0.00248,4,0.557,9,185733,-10.484,0.394,1,audio_features,spotify:track:45yEy5WJywhJ3sDI28ajTm
0.536,0.528,110.849,0.0421,0.518,0.0,4,0.605,1,159720,-10.069,0.688,1,audio_features,spotify:track:6NqtddM4j4X9dG75yOmy0S
0.805,0.0996,138.514,0.0371,0.137,0.0,4,0.59,0,154200,-6.481,0.797,1,audio_features,spotify:track:69d54YOS8TOQiUYjX57XeA
0.365,0.0718,133.084,0.0265,0.667,0.000523,4,0.326,3,219440,-8.776,0.314,1,audio_features,spotify:track:0Oroc0HXQaxs8ONgI7dLnw
0.412,0.0702,152.126,0.0287,0.361,8.68e-05,4,0.257,1,228133,-11.788,0.858,1,audio_features,spotify:track:72Ob0wrObCXgvGYhFs8vip
0.403,0.111,143.462,0.0322,0.631,0.0,4,0.443,0,243027,-8.339,0.41,1,audio_features,spotify:track:5V1AHQugSTASVez5ffJtFo
0.592,0.61,123.095,0.0586,0.492,0.00626,4,0.761,2,189387,-9.836,0.332,1,audio_features,spotify:track:3JzL2n8ofVRV6pZXAMGQ93
0.376,0.0926,165.007,0.0393,0.0302,0.248,4,0.533,9,259947,-11.913,0.187,0,audio_features,spotify:track:0MKqeOVdZcUFGJvWpGCKbG
0.656,0.268,173.93,0.0397,0.0126,0.0279,3,0.422,4,207240,-8.412,0.549,1,audio_features,spotify:track:59CLXQLZKxRPzMW8S8Gt9N
0.512,0.215,92.225,0.0247,0.155,4.65e-05,4,0.626,1,170720,-9.15,0.73,0,audio_features,spotify:track:254ujtd5Avf5mwBET7FASI
0.249,0.134,81.257,0.0272,0.754,5.77e-06,4,0.328,2,165667,-11.777,0.162,1,audio_features,spotify:track:4cLoL5KPfE1hAwfsO84FX7
0.596,0.351,100.687,0.0272,0.0699,1.96e-05,4,0.676,4,66533,-9.107,0.97,1,audio_features,spotify:track:67jL5ZAf8hNsRZrfBHNuBT
0.431,0.561,95.937,0.0686,0.0722,0.0,4,0.587,2,130893,-9.495,0.778,1,audio_features,spotify:track:12g8bqkQd8y1UuVPb4yFYe
0.463,0.286,103.103,0.0288,0.345,4.59e-05,4,0.4,7,231213,-8.455,0.627,1,audio_features,spotify:track:2u8yti7fZtXMbwqex7M0DZ
0.219,0.15,105.345,0.0359,0.808,0.599,4,0.406,7,134027,-13.155,0.271,1,audio_features,spotify:track:47DgFAFnhfwoSko23P7pz5
0.281,0.243,113.126,0.032,0.661,0.763,4,0.354,7,140733,-12.434,0.367,1,audio_features,spotify:track:3XqQuk01PcRXbyHf2AovYN
0.728,0.251,113.059,0.0314,0.232,0.0642,4,0.818,10,188960,-8.331,0.975,1,audio_features,spotify:track:3fuEJBCK3kWnJHFTODR4cb
0.54,0.169,139.288,0.0589,0.523,1.34e-06,4,0.431,9,164547,-9.6,0.44,0,audio_features,spotify:track:4o6QTTyoZR2e2ZlOrtqQc9
0.654,0.172,115.0,0.0317,0.0205,0.00395,4,0.453,4,285000,-8.855,0.702,0,audio_features,spotify:track:4J4gApJKSC0himDViFotdy
0.127,0.0573,93.699,0.0342,0.754,1.41e-05,4,0.686,7,138387,-14.361,0.372,1,audio_features,spotify:track:4Z92RMiyJpUrApZi3LtpJ6
0.537,0.194,84.895,0.0254,0.594,1.92e-05,4,0.599,0,230453,-9.617,0.946,1,audio_features,spotify:track:3OSi8ehmSWLTD5KatlzX8r
0.727,0.232,139.239,0.0384,7.37e-05,0.717,4,0.541,2,163080,-7.509,0.91,1,audio_features,spotify:track:4KIXWIzNcKzorNDgvMQwmD
0.731,0.081,117.089,0.0559,0.0207,0.000464,4,0.523,2,144773,-8.613,0.81,1,audio_features,spotify:track:0fDmdWRuV1mWwfn1NaoE67
0.831,0.811,167.518,0.0894,0.000606,0.846,4,0.166,9,269787,-8.469,0.281,1,audio_features,spotify:track:5MF8YFuVlKhMgzUe21zm0R
0.529,0.174,76.644,0.0323,0.115,0.00396,4,0.517,9,182080,-11.851,0.362,0,audio_features,spotify:track:7fdPjjnUY9gmYqScFYSSPp
0.613,0.0734,170.962,0.0931,0.0385,3.98e-05,4,0.297,9,170107,-9.065,0.338,1,audio_features,spotify:track:7GeZEzG1QEjqRzuWVlrBFt
0.293,0.0936,117.613,0.0332,0.784,0.0106,4,0.698,0,148413,-11.361,0.724,1,audio_features,spotify:track:61iJ2np62qzaMdEcGvjICc
0.556,0.589,85.206,0.0513,0.0828,0.000359,4,0.401,2,275867,-10.532,0.654,1,audio_features,spotify:track:4qmvOVUt7U8szKXspAoLVy
0.733,0.414,99.307,0.0256,0.306,2.4e-05,4,0.479,0,208840,-8.753,0.806,1,audio_features,spotify:track:7c76SiAfT7JkMiCm8BBCcP
0.502,0.0713,97.871,0.178,0.336,0.000138,4,0.39,10,247320,-12.277,0.289,1,audio_features,spotify:track:5EuraV2jbqB15ihd3d2Hex
0.488,0.136,113.038,0.0316,0.212,0.026,4,0.651,9,180893,-8.22,0.49,1,audio_features,spotify:track:5RStjc42UAYI2NMY3cYpgz
0.515,0.389,112.035,0.0337,0.365,0.0,4,0.705,4,164107,-9.343,0.803,1,audio_features,spotify:track:0TKiASulg0H5ZKkkqZNTdm
0.325,0.139,65.09,0.0283,0.0469,0.0,1,0.311,2,208467,-9.042,0.668,1,audio_features,spotify:track:3FCnUhO6ao6hFRgCLPkSUE
0.214,0.106,127.581,0.0337,0.944,0.0,3,0.381,4,215160,-11.629,0.393,1,audio_features,spotify:track:1Ipl1kvks5s6GKn6oqgzeY
0.457,0.922,163.219,0.0675,0.29,0.000106,4,0.364,4,337413,-14.162,0.175,0,audio_features,spotify:track:3ZFBeIyP41HhnALjxWy1pR
0.28,0.305,137.831,0.0381,0.936,1.56e-05,4,0.581,4,126533,-9.091,0.813,0,audio_features,spotify:track:77f3aNeabAbOaSB32Sd5QE
0.596,0.321,133.586,0.0749,0.0101,0.0,4,0.469,7,158853,-8.348,0.783,1,audio_features,spotify:track:37ySfQ411eeAGzzjd6zsrT
0.496,0.123,117.331,0.0468,0.719,0.0,3,0.77,11,129293,-8.45,0.571,1,audio_features,spotify:track:4F3AOkGrVXF70PBEaRxm3u
0.351,0.115,81.208,0.0278,0.783,0.0,4,0.483,1,119813,-10.487,0.713,0,audio_features,spotify:track:19aATlcb67bbIdjcMA0rOa
0.369,0.112,176.625,0.0379,0.183,0.00126,3,0.425,4,124693,-11.876,0.65,1,audio_features,spotify:track:4DE42oDol0KHxympBsaiYu
0.471,0.0712,121.672,0.0348,0.313,5.08e-06,4,0.632,0,168120,-7.887,0.764,1,audio_features,spotify:track:5e8uc7f0v5jpY5SF1emxHl
0.29,0.105,117.403,0.0341,0.652,0.0,4,0.578,5,162373,-12.501,0.666,0,audio_features,spotify:track:0yZEKwCNhkyaqk1ZyCZU7A
0.624,0.128,121.402,0.0462,0.00797,0.0,4,0.534,4,163693,-9.589,0.687,1,audio_features,spotify:track:1OpY6W5UY8xkfrnl3hlMJy
0.435,0.113,103.239,0.0323,0.449,0.0,4,0.688,9,146333,-11.359,0.435,1,audio_features,spotify:track:5QqdvVeYLL1xvZ1ndUjxnO
0.725,0.0994,95.003,0.0332,0.188,0.0,4,0.534,6,139560,-7.576,0.763,0,audio_features,spotify:track:5ou2BiQ9FxIYkxsYvYHpAT
0.85,0.233,123.419,0.0678,0.0457,0.0,4,0.519,9,189680,-6.777,0.749,1,audio_features,spotify:track:2zO5cQdHLBOPlnQqWeNCFM
0.313,0.144,133.754,0.0366,0.789,0.0,4,0.689,0,108853,-10.073,0.625,1,audio_features,spotify:track:5f8TozGCJHwR82EOCajZjU
0.49,0.103,123.227,0.038,0.488,0.0,4,0.74,2,123800,-9.095,0.678,1,audio_features,spotify:track:1g8AvTv3wYRMWtbyWnkSMn
0.583,0.119,138.134,0.038,0.412,0.0,4,0.652,9,163600,-7.811,0.744,1,audio_features,spotify:track:2B3ArhTa6DRox1W4CJZ1dM
0.331,0.0681,113.312,0.0337,0.64,0.0,4,0.767,1,149693,-10.777,0.636,0,audio_features,spotify:track:6mZGglJLWfy0HxbVL8i9BL
0.677,0.321,170.72,0.0593,0.283,0.0,4,0.483,0,131867,-5.91,0.842,1,audio_features,spotify:track:7KmRz1oKEwgj9qpfn72OfO
0.563,0.343,77.56,0.0298,0.207,0.0,4,0.416,1,127853,-8.724,0.9,0,audio_features,spotify:track:7cPPyMrSAQY7A686Cn9eUP
0.829,0.227,147.997,0.0806,0.386,6.2e-05,4,0.52,0,141693,-6.228,0.744,1,audio_features,spotify:track:2OLMjGIhCNI6j34ysPscbp
0.349,0.38,124.451,0.0368,0.608,0.0,4,0.673,4,117013,-12.414,0.609,1,audio_features,spotify:track:5FBxWhG0nbBAF6lWgJFklM
0.849,0.0414,124.631,0.0452,0.641,7.74e-06,4,0.482,2,155227,-9.198,0.937,1,audio_features,spotify:track:4Z1fbYp0HuxLBje4MOZcSD
0.338,0.138,133.522,0.0304,0.198,2.62e-06,4,0.396,0,182293,-10.872,0.377,1,audio_features,spotify:track:7oSUp4yZ0FbuSvVmCxH2ty
0.673,0.797,95.513,0.0734,0.0857,0.00225,4,0.451,7,122893,-9.115,0.583,1,audio_features,spotify:track:2v0fKNEQwzUuol9VImFuOu
0.607,0.088,147.207,0.0261,0.0112,1.38e-05,4,0.386,10,425653,-7.7,0.532,1,audio_features,spotify:track:3H7sv3Krffn15BufUuXzf3
0.677,0.183,106.071,0.0298,0.0635,0.0,4,0.378,2,135693,-8.63,0.648,1,audio_features,spotify:track:0Lckblu9CJUXOeMV0XY3b9
0.289,0.0928,77.119,0.0259,0.568,0.000829,4,0.593,4,215733,-11.049,0.733,1,audio_features,spotify:track:5EBoNoVE7BoGQ7Hfd2uGUR
0.777,0.215,109.608,0.0294,0.141,0.343,4,0.65,2,136827,-4.984,0.574,1,audio_features,spotify:track:3yf4uaeB2ibXSIPbfUYC2k
0.715,0.311,130.726,0.0476,0.386,0.0,4,0.49,7,145747,-5.549,0.866,1,audio_features,spotify:track:4pbG9SUmWIvsROVLF0zF9s
0.782,0.125,137.453,0.0307,0.12,4.19e-06,4,0.665,6,169000,-8.438,0.731,0,audio_features,spotify:track:29b2b96jozyD9GPCkOrVLs
0.916,0.074,75.533,0.0481,0.26,0.0,4,0.377,4,140920,-3.199,0.912,0,audio_features,spotify:track:2Fk411Ix3qnMG8t8Qa74ZX
0.565,0.0601,109.286,0.0336,0.635,0.0,4,0.608,2,177133,-11.06,0.835,1,audio_features,spotify:track:1hYuXMeJUOfoJFq0wBhzWV
0.48,0.0702,139.388,0.028,0.334,0.0,4,0.527,4,120853,-9.61,0.706,1,audio_features,spotify:track:2Iccm3cKBQHWt5yk0yX9nh
0.444,0.115,130.704,0.0289,0.257,0.0,4,0.682,7,163080,-7.689,0.91,1,audio_features,spotify:track:49lytSpI9xviTrHs0OhYIo
0.489,0.0988,136.215,0.0455,0.277,0.0,4,0.601,9,148787,-8.554,0.638,1,audio_features,spotify:track:5AcM8eAOtusLByGW7XbRA6
0.487,0.138,123.444,0.0689,0.00101,0.285,1,0.647,11,141613,-10.119,0.222,0,audio_features,spotify:track:5aHHf6jrqDRb1fcBmue2kn
0.247,0.0917,165.361,0.0383,0.921,0.00565,4,0.29,7,144880,-12.125,0.36,1,audio_features,spotify:track:2B4Y9u4ERAFiMo13XPJyGP
0.969,0.0608,142.489,0.0854,0.069,0.00022,4,0.48,9,163453,-7.464,0.494,1,audio_features,spotify:track:0j3p1p06deJ7f9xmJ9yG22
