"energy","liveness","speechiness","acousticness","instrumentalness","danceability","valence","who"
0.585,0.132,0.0435,0.721,0,0.617,0.352,"Joaquín Sabina"
0.373,0.197,0.0542,0.754,0,0.559,0.596,"Joaquín Sabina"
0.75,0.358,0.0434,0.163,0.00000417,0.743,0.725,"Joaquín Sabina"
0.571,0.0929,0.0325,0.0161,0,0.572,0.403,"Joaquín Sabina"
0.794,0.25,0.0422,0.452,0.00000224,0.753,0.446,"Joaquín Sabina"
0.478,0.101,0.0388,0.0267,0.000029,0.674,0.241,"Joaquín Sabina"
0.559,0.171,0.031,0.373,0,0.68,0.747,"Joaquín Sabina"
0.654,0.0671,0.0335,0.626,0.00000538,0.736,0.56,"Joaquín Sabina"
0.521,0.156,0.0332,0.489,0.00184,0.699,0.332,"Joaquín Sabina"
0.786,0.272,0.216,0.696,0,0.706,0.8,"Joaquín Sabina"
0.406,0.135,0.135,0.359,0,0.668,0.215,"Joaquín Sabina"
0.706,0.178,0.0511,0.567,0.00108,0.747,0.758,"Joaquín Sabina"
0.321,0.14,0.0309,0.63,0.00872,0.42,0.336,"Joaquín Sabina"
0.758,0.339,0.0658,0.107,0.00000187,0.734,0.624,"Joaquín Sabina"
0.699,0.171,0.0431,0.171,0.0000634,0.448,0.519,"Joaquín Sabina"
0.49,0.364,0.0291,0.332,0,0.635,0.416,"Joaquín Sabina"
0.534,0.0389,0.0424,0.186,0.000047,0.46,0.312,"Joaquín Sabina"
0.563,0.119,0.067,0.525,0.0000424,0.788,0.359,"Joaquín Sabina"
0.706,0.71,0.345,0.336,0,0.573,0.672,"Joaquín Sabina"
0.665,0.965,0.0724,0.581,0,0.353,0.396,"Joaquín Sabina"
0.567,0.742,0.0687,0.161,0,0.471,0.27,"Joaquín Sabina"
0.465,0.721,0.246,0.717,0,0.512,0.343,"Joaquín Sabina"
0.714,0.731,0.417,0.348,0,0.62,0.702,"Joaquín Sabina"
0.673,0.253,0.0367,0.402,0,0.686,0.89,"Joaquín Sabina"
0.762,0.13,0.0418,0.443,0,0.778,0.634,"Joaquín Sabina"
0.341,0.0987,0.059,0.747,0,0.676,0.495,"Joaquín Sabina"
0.346,0.144,0.0821,0.807,0,0.631,0.32,"Joaquín Sabina"
0.673,0.0687,0.0754,0.339,0,0.837,0.885,"Joaquín Sabina"
0.706,0.45,0.0281,0.321,0,0.571,0.414,"Joaquín Sabina"
0.881,0.321,0.0601,0.189,0.00000542,0.369,0.562,"Joaquín Sabina"
0.86,0.22,0.146,0.0651,0,0.653,0.827,"Joaquín Sabina"
0.719,0.135,0.0296,0.0737,0.00000407,0.768,0.78,"Joaquín Sabina"
0.545,0.615,0.0409,0.575,0.00000318,0.575,0.353,"Joaquín Sabina"
0.601,0.977,0.0494,0.0346,0,0.597,0.488,"Joaquín Sabina"
